concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept
1201043,From initial search,"respiratory syncytial virus pre-fusion F protein, recombinant 0.24 MG/ML",Drug,RxNorm,S
1201050,From initial search,respiratory syncytial virus pre-fusion F protein Injection [Arexvy],Drug,RxNorm,S
1201046,From initial search,"respiratory syncytial virus pre-fusion F protein, recombinant 0.24 MG/ML Injection",Drug,RxNorm,S
1201045,From initial search,respiratory syncytial virus pre-fusion F protein Injection,Drug,RxNorm,S
1201042,From initial search,respiratory syncytial virus pre-fusion F protein,Drug,RxNorm,S
1201561,From initial search,"0.5 ML respiratory syncytial virus pre-fusion F protein, recombinant 0.24 MG/ML Injection [Arexvy]",Drug,RxNorm,S
1201051,From initial search,"respiratory syncytial virus pre-fusion F protein, recombinant 0.24 MG/ML Injection [Arexvy]",Drug,RxNorm,S
1201560,From initial search,"0.5 ML respiratory syncytial virus pre-fusion F protein, recombinant 0.24 MG/ML Injection",Drug,RxNorm,S
1201048,From initial search,"respiratory syncytial virus pre-fusion F protein, recombinant 0.24 MG/ML [Arexvy]",Drug,RxNorm,S
1201044,From descendants,respiratory syncytial virus pre-fusion F protein Injectable Product,Drug,RxNorm,C
1201049,From descendants,Arexvy Injectable Product,Drug,RxNorm,C
747756,From orphan codes,,,,
746066,From orphan codes,,,,
